id,name,mark,match_key,logo_domain,logo_url,hue,chroma,product_ids,sort_order,is_active,created_at,updated_at
b7b97acf-4cc8-4fef-a486-c796920390f6,BISCO,BS,bisco,bisco.com,,250,0.18,{},4,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
bc89a433-03e8-4fc1-b2bc-d365923eaccf,Orodeka,OD,orodeka,orodeka.com,,195,0.16,{},5,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
06e80048-aa11-460e-b44c-724e39d200cb,Eighteeth,8T,eighteeth,eighteeth.com,,275,0.18,{},6,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
526e9ceb-e2bc-42f2-8a06-2d59ca4e52c7,Dentsply Sirona,DS,dentsply,dentsplysirona.com,,155,0.14,{},7,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
ddbe56ef-b53e-492e-a3d5-ac5ff6706c50,Ivoclar,IV,ivoclar,ivoclar.com,,40,0.16,{},8,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
3d779470-6a02-4f3e-86ab-d68190a59d0a,Kerr,KR,kerr,kerrdental.com,,255,0.19,{},9,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
2a10d466-3bea-49ae-888d-305d1e341dd4,VOCO,VC,voco,voco.dental,,205,0.15,{},10,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
87e1e251-903d-4bac-969b-e5d787b2f238,Coltene,CL,coltene,coltene.com,,140,0.14,{},11,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
13ebd02c-b21e-4781-ba3f-77fad25d40e0,NSK,NSK,nsk,nsk-dental.com,,265,0.18,{},12,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
01c0378e-c633-40c9-8a3b-94754bc7276e,Woodpecker,WP,woodpecker,woodpeckerdental.com,,50,0.16,{},13,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
5cf291fd-1691-4fd6-b4ac-fd806b478bc6,Meta Biomed,MB,meta,meta-biomed.com,,230,0.17,{},14,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
874f2f6d-79fe-4027-934b-28901a90a413,Septodont,SP,septodont,septodont.com,,10,0.19,{},15,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
105fe0e2-d64e-4ec4-8ce1-701fdbebb428,Vericom,VR,vericom,vericom.co.kr,,190,0.15,{},16,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:21:34.972187+00
87492894-891e-4437-91f1-695f1c144356,GC,GC,gc,gc.dental,,15,0.20,{},3,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:29:35.411438+00
3edff647-eb71-4196-af23-f083a4388886,Tokuyama,TK,tokuyama,tokuyama-dental.com,,340,0.17,{},1,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:29:39.026051+00
5c66b32b-b18a-46d9-8e57-965b682a1e34,3M,3M,3m,3m.com,,25,0.21,{},2,t,2026-08-19 11:21:34.972187+00,2026-08-19 11:29:39.242515+00
