id,match_key,name_ar,name_ku,description_ar,description_ku,brand,sku,image_url,category_id,created_at,updated_at
d80f220d-f783-4bc9-b6d3-79ebe4f46165,3m|أسلاك تقويم 3m,أسلاك تقويم 3M,تەلی ڕێکخستن 3M,أسلاك تقويم أصلي من 3M — جودة عالية وسعر جملة.,تەلی ڕێکخستن ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1007,/images/p-ortho.jpg,ba523618-8705-4b72-aa81-52409b0c94f9,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
bf57b0aa-d88d-4e14-8d6c-51c80a890f68,3m|أسمنت relyx luting,أسمنت RelyX Luting,سیمێنتی RelyX Luting,"","",3M,3M-003,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
edbc5688-2e88-4af0-ba9f-98e9cfaebbe4,3m|جهاز تعقيم 3m,جهاز تعقيم 3M,ئامێری پاککردنەوە 3M,جهاز تعقيم أصلي من 3M — جودة عالية وسعر جملة.,ئامێری پاککردنەوە ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1008,/images/p-autoclave.jpg,51cca89f-6cb4-4656-ae22-354da2f9ed55,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
7f2db113-0a23-469a-a0d2-e443769d9b9a,3m|سمنت زجاجي 3m,سمنت زجاجي 3M,سیمێنتی شووشەیی 3M,سمنت زجاجي أصلي من 3M — جودة عالية وسعر جملة.,سیمێنتی شووشەیی ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1001,/images/p-cement.jpg,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
9357a8c2-e318-41f6-809e-1778e3bd781c,3m|شرائط تلميع sof-lex,شرائط تلميع Sof-Lex,تەیپی سافکردنی Sof-Lex,"","",3M,3M-004,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
2d9b3d50-8f4d-450f-9310-10f54997ab00,3m|قفازات نتريل 3m,قفازات نتريل 3M,دەستکێشی نیتریل 3M,قفازات نتريل أصلي من 3M — جودة عالية وسعر جملة.,دەستکێشی نیتریل ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1004,/images/p-gloves.jpg,fa22af05-590d-48b6-b065-7318f2e84ea7,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
67d23280-a185-4b20-8f88-1214c2426979,3m|كماشة خلع 3m,كماشة خلع 3M,کەلبەتانی دەرهێنان 3M,كماشة خلع أصلي من 3M — جودة عالية وسعر جملة.,کەلبەتانی دەرهێنان ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1006,/images/p-forceps.jpg,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
38f5d7da-3110-4e98-b01b-f8b809b3ff29,3m|كمامات طبية 3m,كمامات طبية 3M,دەمامکی پزیشکی 3M,كمامات طبية أصلي من 3M — جودة عالية وسعر جملة.,دەمامکی پزیشکی ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1005,/images/p-masks.jpg,9f0bd8cc-a30b-44d2-b298-76670f74723a,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
a6a77cdd-7635-4a63-bcc1-0d519644a63a,3m|كمبوزيت filtek z350 xt,كمبوزيت Filtek Z350 XT,کۆمپۆزیتی Filtek Z350 XT,"","",3M,3M-001,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
d1914c42-003a-4e5e-ae71-7e3c0bb07800,3m|كومبوزيت حقنة 3m,كومبوزيت حقنة 3M,کۆمپۆزیتی سیرینج 3M,كومبوزيت حقنة أصلي من 3M — جودة عالية وسعر جملة.,کۆمپۆزیتی سیرینج ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1000,/images/p-composite.jpg,9f0bd8cc-a30b-44d2-b298-76670f74723a,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
410c77e6-8dfe-42e2-84fb-928376edf0dc,3m|لاصق scotchbond universal,لاصق Scotchbond Universal,بەستەری Scotchbond Universal,"","",3M,3M-002,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
bcc9b822-cb07-4aed-8367-af484328aa61,3m|لاصق أسنان 3m,لاصق أسنان 3M,لینکی ددان 3M,لاصق أسنان أصلي من 3M — جودة عالية وسعر جملة.,لینکی ددان ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1002,/images/p-curing-light.jpg,ba523618-8705-4b72-aa81-52409b0c94f9,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
5fb68e29-37a1-490a-b5d3-f5ecf174029a,3m|مادة طبعات 3m,مادة طبعات 3M,کەرەستەی داغکردن 3M,مادة طبعات أصلي من 3M — جودة عالية وسعر جملة.,کەرەستەی داغکردن ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1009,/images/p-composite.jpg,fa22af05-590d-48b6-b065-7318f2e84ea7,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
56ed9e08-6a9b-4beb-9309-db82b45ed82c,3m|مادة طبعة imprint 4,مادة طبعة Imprint 4,مادەی وەرگرتنی Imprint 4,"","",3M,3M-005,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
700a976c-ab8e-4cd2-8553-aec666241eee,3m|مثقب ألماسي 3m,مثقب ألماسي 3M,بۆری ئەڵماس 3M,مثقب ألماسي أصلي من 3M — جودة عالية وسعر جملة.,بۆری ئەڵماس ڕەسەن لە 3M — کوالیتی باش و نرخی کۆ.,3M,3M-1003,/images/p-instruments-set.jpg,51cca89f-6cb4-4656-ae22-354da2f9ed55,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
571d70b5-1f39-4f59-ae0c-7bce20acb852,bisco|core-flo dc lite,Core-Flo DC Lite,Core-Flo DC Lite,"","",BISCO,BISC-003,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
96b52e1b-b5d7-4bd7-be28-3feeb1c90acc,bisco|porcelain bonding resin,Porcelain Bonding Resin,Porcelain Bonding Resin,"","",BISCO,BISC-004,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
beaf2094-25ae-4e71-b762-5d0edcc98318,bisco|select hv etch جل حفر,Select HV Etch جل حفر,جێلی هەڵکۆڵینی Select HV Etch,"","",BISCO,BISC-005,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
4b676f1f-f2d4-4804-bbc3-f4d7f48c5e67,bisco|أسلاك تقويم bisco,أسلاك تقويم Bisco,تەلی ڕێکخستن Bisco,أسلاك تقويم أصلي من Bisco — جودة عالية وسعر جملة.,تەلی ڕێکخستن ڕەسەن لە Bisco — کوالیتی باش و نرخی کۆ.,Bisco,BISCO-1007,/images/p-ortho.jpg,ba523618-8705-4b72-aa81-52409b0c94f9,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
f916c21a-7234-4631-b088-47d78d7e937f,bisco|أسمنت duo-link universal,أسمنت Duo-Link Universal,سیمێنتی Duo-Link Universal,"","",BISCO,BISC-002,,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
47dfffba-4c88-4506-90fe-42e97d222fee,bisco|جهاز تعقيم bisco,جهاز تعقيم Bisco,ئامێری پاککردنەوە Bisco,جهاز تعقيم أصلي من Bisco — جودة عالية وسعر جملة.,ئامێری پاککردنەوە ڕەسەن لە Bisco — کوالیتی باش و نرخی کۆ.,Bisco,BISCO-1008,/images/p-autoclave.jpg,51cca89f-6cb4-4656-ae22-354da2f9ed55,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
99973c47-c06f-40d7-8f38-f408a4f0bb06,bisco|سمنت زجاجي bisco,سمنت زجاجي Bisco,سیمێنتی شووشەیی Bisco,سمنت زجاجي أصلي من Bisco — جودة عالية وسعر جملة.,سیمێنتی شووشەیی ڕەسەن لە Bisco — کوالیتی باش و نرخی کۆ.,Bisco,BISCO-1001,/images/p-cement.jpg,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
1908fff4-8665-4a5f-8579-caaa03be8d28,bisco|قفازات نتريل bisco,قفازات نتريل Bisco,دەستکێشی نیتریل Bisco,قفازات نتريل أصلي من Bisco — جودة عالية وسعر جملة.,دەستکێشی نیتریل ڕەسەن لە Bisco — کوالیتی باش و نرخی کۆ.,Bisco,BISCO-1004,/images/p-gloves.jpg,fa22af05-590d-48b6-b065-7318f2e84ea7,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
2d483cfe-53c4-447e-856a-2772f9d79799,bisco|كماشة خلع bisco,كماشة خلع Bisco,کەلبەتانی دەرهێنان Bisco,كماشة خلع أصلي من Bisco — جودة عالية وسعر جملة.,کەلبەتانی دەرهێنان ڕەسەن لە Bisco — کوالیتی باش و نرخی کۆ.,Bisco,BISCO-1006,/images/p-forceps.jpg,e121d991-00b7-414b-9c46-7cee49ca68e4,2026-08-22 04:25:05.423884+00,2026-08-22 04:25:05.423884+00
