id,slug,name_ar,name_ku,image_url,sort_order,is_active,created_at,icon,hue,chroma,updated_at
9f0bd8cc-a30b-44d2-b298-76670f74723a,instruments,أدوات الأسنان,ئامێرەکانی ددان,/__l5e/assets-v1/fd0ea017-9d9c-4f1d-850b-5aa23ec73c17/cat2-instruments.png,1,t,2026-08-19 09:29:21.208405+00,wrench,250,0.16,2026-08-21 17:43:21.67254+00
e121d991-00b7-414b-9c46-7cee49ca68e4,materials,المواد الترميمية,ماددەی چاککردنەوە,/__l5e/assets-v1/923b3dc8-3dbd-4a12-86de-19be8326cad7/cat2-materials.png,2,t,2026-08-19 09:29:21.208405+00,flask,305,0.15,2026-08-21 17:43:21.67254+00
ba523618-8705-4b72-aa81-52409b0c94f9,orthodontics,تقويم الأسنان,ڕێکخستنی ددان,/__l5e/assets-v1/66df0fba-4e41-4c4d-8885-98c8adc3e3f8/cat2-orthodontics.png,3,t,2026-08-19 09:29:21.208405+00,layers,200,0.14,2026-08-21 17:43:21.67254+00
51cca89f-6cb4-4656-ae22-354da2f9ed55,disposables,المستلزمات المستهلكة,پێداویستی بەکارهاتوو,/__l5e/assets-v1/2c5abb20-0a60-4860-a491-03190dda10ed/cat2-disposables.png,4,t,2026-08-19 09:29:21.208405+00,package,155,0.14,2026-08-21 17:43:21.67254+00
fa22af05-590d-48b6-b065-7318f2e84ea7,equipment,الأجهزة والمعدات,ئامێر و کەلوپەل,/__l5e/assets-v1/bc098a58-0bb7-405a-b26c-33ea5d880c0b/cat2-equipment.png,5,t,2026-08-19 09:29:21.208405+00,stethoscope,275,0.15,2026-08-21 17:43:21.67254+00
5868c47f-4785-49bb-8f87-56735ff83592,restorative,الحشوات والترميم,پڕکردنەوە و چاککردنەوە,/__l5e/assets-v1/c81d2093-3f61-4fad-b7e9-ec773043cb5b/cat2-restorative.png,6,t,2026-08-21 17:28:53.354793+00,smile,350,0.14,2026-08-21 17:43:21.67254+00
ca4d9d68-fb4a-4eb7-9591-ca66a1443670,endodontics,علاج العصب (اللبية),چارەسەری ڕەگ,/__l5e/assets-v1/79df4b17-37df-4fb0-b2b0-db0e488279f5/cat2-endodontics.png,7,t,2026-08-21 17:28:53.354793+00,activity,45,0.15,2026-08-21 17:43:21.67254+00
13717943-ae83-4ce9-9933-6cdd6ee13a8c,anesthesia,التخدير,بێهۆشکردن,/__l5e/assets-v1/90f7e152-caba-40df-a1fa-31b1461141f2/cat2-anesthesia.png,8,t,2026-08-21 17:28:53.354793+00,syringe,10,0.14,2026-08-21 17:43:21.67254+00
5f3c4d9e-68ca-4418-9f41-804f1f4e0e26,surgery,جراحة الفم,نەشتەرگەری دەم,/__l5e/assets-v1/b946f507-22f3-4e39-8759-8befea90407e/cat2-surgery.png,9,t,2026-08-21 17:28:53.354793+00,scissors,25,0.16,2026-08-21 17:43:21.67254+00
41f2e294-5f95-4e23-ad1b-7976df09dfc6,implants,الزرعات,ئیمپلانت,/__l5e/assets-v1/13bf204c-d7c2-4943-b877-d6218cb44c46/cat2-implants.png,10,t,2026-08-21 17:28:53.354793+00,bolt,220,0.13,2026-08-21 17:43:21.67254+00
bf8d1017-a0fd-4262-b1a4-df86f2491814,prosthetics,التركيبات والأطقم,پرۆتێز و تاج,/__l5e/assets-v1/6266e08d-e6ab-4770-b48c-ea1f69ac77f5/cat2-prosthetics.png,11,t,2026-08-21 17:28:53.354793+00,gem,60,0.14,2026-08-21 17:43:21.67254+00
be3bc818-d792-4aee-9b29-2963a6bd66aa,prevention,الوقاية والعناية,پاراستن و چاودێری,/__l5e/assets-v1/177dfd9d-0cbd-4dca-affc-5ec576938a3a/cat2-prevention.png,12,t,2026-08-21 17:28:53.354793+00,shield,145,0.14,2026-08-21 17:43:21.67254+00
118f1585-c33b-40a6-96d1-06999d95a15a,imaging,الأشعة والتصوير,تیشک و وێنەگرتن,/__l5e/assets-v1/2a7e28a9-5318-46a9-ab07-5854a04f0d70/cat2-imaging.png,13,t,2026-08-21 17:28:53.354793+00,eye,235,0.15,2026-08-21 17:43:21.67254+00
bb727a41-5c8b-4afb-9279-9828403e963d,sterilization,التعقيم,ستەریلایزکردن,/__l5e/assets-v1/a7e0a929-5ba4-44d8-98b2-b2e496f343a7/cat2-sterilization.png,14,t,2026-08-21 17:28:53.354793+00,thermometer,185,0.13,2026-08-21 17:43:21.67254+00
bfc33fb9-05bb-440b-8da2-8afb587809eb,handpieces,التوربينات والفريزات,تۆربین و فرێز,/__l5e/assets-v1/703d6a7f-a4c5-4cdc-ab3a-efcb54de0b17/cat2-handpieces.png,15,t,2026-08-21 17:28:53.354793+00,zap,195,0.15,2026-08-21 17:43:21.67254+00
