id,title_ar,title_ku,subtitle_ar,subtitle_ku,badge_ar,badge_ku,product_id,image_url,discount_type,discount_value,ends_at,hue,chroma,sort_order,is_active,created_at,updated_at,vendor_id,starts_at,min_qty,max_discount,max_qty_per_order,priority
fd2911f0-a0d9-4c47-b7e2-89a1cae22c97,Offer,Offer,"","","","",7cdeb3b4-5a9e-4981-b8d2-f1afd9b2ef88,https://i.ebayimg.com/images/g/K44AAOSw~lpkeOqc/s-l1200.png,percent,0,2026-08-21 15:30:00+00,25,0.23,0,t,2026-08-19 15:31:03.82071+00,2026-08-19 18:17:41.998475+00,,2026-08-19 15:29:00+00,1,,,0
47102232-6e54-4f02-81a3-926a9aec4fc5,"","","","","","",f3f815d9-18c4-42e2-8ca1-a7c69f55d0e8,,percent,20,,150,0.23,0,t,2026-08-20 05:48:44.240684+00,2026-08-20 05:48:44.240684+00,5581377c-f475-42e6-a8ce-89e64a1c95ba,2026-08-20 05:48:43.524+00,1,,,0
d677caf1-f715-4807-a0e0-d04e8fdb7af5,Dental Center,Dental Center,"","","","",e5193e1d-d7d1-42b8-9b52-93af42d4e7fd,,fixed,20,,150,0.23,0,t,2026-08-20 06:08:25.693848+00,2026-08-20 06:08:25.693848+00,5581377c-f475-42e6-a8ce-89e64a1c95ba,2026-08-20 06:08:25.127+00,1,,,0
14bf4350-f17e-4f04-b9db-30112961980f,Autoclave,Autoclave,"","","","",3cd34f41-42c4-4fd8-9d68-f1868382a17d,,percent,20,,250,0.23,0,t,2026-08-21 10:51:39.452407+00,2026-08-21 10:51:39.452407+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,2026-08-21 10:51:38.792+00,1,,,0
d79d332d-7f85-4874-b801-93d8089346d3,Test one,Test one,Hsjsjs,Hsjsjs,"","",45839fde-4d23-4098-9588-bed9f366bc4b,,fixed,15000,,190,0.23,0,t,2026-08-21 10:53:17.84493+00,2026-08-21 10:53:17.84493+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,2026-08-21 10:53:17.137+00,1,,,0
af6bbcc4-6b97-4662-8ccd-296151270a55,Test,Test,Hdhsjs,Hdhsjs,"","",45839fde-4d23-4098-9588-bed9f366bc4b,,percent,20,,355,0.23,0,t,2026-08-21 10:54:30.185458+00,2026-08-21 10:54:30.185458+00,,2026-08-21 10:54:29.686+00,1,,,0
9adbe8c5-495c-4e5f-86b8-5f6388a973d8,Products and make mobile,Products and make mobile,Hshsja for the web site,Hshsja for the web site,"","",68ac69f6-ce04-4dca-b585-45c88580089c,,percent,20,2026-08-23 11:06:00+00,315,0.23,0,t,2026-08-21 11:07:09.016802+00,2026-08-21 11:08:06.749474+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,2026-08-21 10:07:00+00,1,,,0
c4b39f18-20f4-4c49-b61c-cbc2fc03c3bd,Flash deal,Flash deal,Test flash deal,Test flash deal,"","",a6311b7d-4deb-4214-9136-44e31937e95e,,percent,20,2026-08-23 14:01:00+00,355,0.23,0,t,2026-08-21 14:02:11.595618+00,2026-08-21 14:02:11.595618+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,2026-08-21 14:02:10.688+00,1,,,0
b3b80d8f-9d3a-43c3-8aa6-2f4bd88aba98,پەلەبکەو بکڕە,پەلەبکەو بکڕە,پلەلکە,پلەلکە,"","",,,percent,20,,60,0.23,0,t,2026-08-21 19:47:05.360095+00,2026-08-21 19:58:53.161633+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,2026-08-21 19:47:04.856+00,1,,,0
a029f502-89c6-43ed-b34a-0ff48be4ec7c,خصم اليوم على كمبوزيت Filtek Z350 XT,داشکاندنی ئەمڕۆ لەسەر کۆمپۆزیتی Filtek Z350 XT,كمية محدودة — اطلب الآن قبل انتهاء الوقت,ژمارەی سنووردار — ئێستا داوا بکە,صفقة اليوم,ماملەی ئەمڕۆ,c174ef26-f847-400b-8964-9dca54d87f94,https://png.pngtree.com/png-vector/20250323/ourmid/pngtree-vibrant-special-offer-badge-design-png-image_15855886.png,percent,5,2026-08-21 12:35:00+00,315,0.23,0,t,2026-08-19 12:35:56.687498+00,2026-08-19 18:11:31.841515+00,,2026-08-19 14:56:00+00,3,,,0
