id,user_id,kind,title_ar,title_ku,title_en,body_ar,body_ku,body_en,link,order_id,vendor_id,is_read,created_at,updated_at
160b585b-8f01-4e21-956b-f75e59682590,8d4a489a-d01b-41e6-b137-4d54fec1490e,announcement,نقاط المكافأة متاحة الآن 🎉,خاڵی خەڵات ئێستا بەردەستە 🎉,Reward Points are live 🎉,اجمع نقاط المكافأة مع كل طلب واستبدلها بخصم مباشر على مشترياتك. 100 نقطة = 1$,لەگەڵ هەر داواکاریێک خاڵی خەڵات کۆبکەرەوە و بیگۆڕە بە داشکاندنی ڕاستەوخۆ. ١٠٠ خاڵ = ١$,Earn Reward Points on every order and redeem them for instant discounts. 100 points = $1,/rewards,,,f,2026-08-22 10:40:43.815501+00,2026-08-22 10:40:43.815501+00
63f6f4b6-ab40-40e0-983d-44eecb4d7ecb,d141cf10-e9e0-4c2f-b43b-c58eca7a6abb,announcement,نقاط المكافأة متاحة الآن 🎉,خاڵی خەڵات ئێستا بەردەستە 🎉,Reward Points are live 🎉,اجمع نقاط المكافأة مع كل طلب واستبدلها بخصم مباشر على مشترياتك. 100 نقطة = 1$,لەگەڵ هەر داواکاریێک خاڵی خەڵات کۆبکەرەوە و بیگۆڕە بە داشکاندنی ڕاستەوخۆ. ١٠٠ خاڵ = ١$,Earn Reward Points on every order and redeem them for instant discounts. 100 points = $1,/rewards,,,f,2026-08-22 10:40:43.815501+00,2026-08-22 10:40:43.815501+00
239f6c69-4cd9-4348-ac0c-bb5b76647201,b2d14ab1-7480-40fe-bc9a-491b52419cfe,announcement,نقاط المكافأة متاحة الآن 🎉,خاڵی خەڵات ئێستا بەردەستە 🎉,Reward Points are live 🎉,اجمع نقاط المكافأة مع كل طلب واستبدلها بخصم مباشر على مشترياتك. 100 نقطة = 1$,لەگەڵ هەر داواکاریێک خاڵی خەڵات کۆبکەرەوە و بیگۆڕە بە داشکاندنی ڕاستەوخۆ. ١٠٠ خاڵ = ١$,Earn Reward Points on every order and redeem them for instant discounts. 100 points = $1,/rewards,,,f,2026-08-22 10:40:43.815501+00,2026-08-22 10:40:43.815501+00
3b0789af-162e-4057-bdec-778dc49b747b,90250baa-f629-449a-a7f0-5d7fc098d793,announcement,نقاط المكافأة متاحة الآن 🎉,خاڵی خەڵات ئێستا بەردەستە 🎉,Reward Points are live 🎉,اجمع نقاط المكافأة مع كل طلب واستبدلها بخصم مباشر على مشترياتك. 100 نقطة = 1$,لەگەڵ هەر داواکاریێک خاڵی خەڵات کۆبکەرەوە و بیگۆڕە بە داشکاندنی ڕاستەوخۆ. ١٠٠ خاڵ = ١$,Earn Reward Points on every order and redeem them for instant discounts. 100 points = $1,/rewards,,,f,2026-08-22 10:40:43.815501+00,2026-08-22 10:40:43.815501+00
9ced834b-b2d0-47c2-b1f1-1b7f37b2b6be,75e98c53-c3c1-4408-9ebf-8f40496f3a70,announcement,نقاط المكافأة متاحة الآن 🎉,خاڵی خەڵات ئێستا بەردەستە 🎉,Reward Points are live 🎉,اجمع نقاط المكافأة مع كل طلب واستبدلها بخصم مباشر على مشترياتك. 100 نقطة = 1$,لەگەڵ هەر داواکاریێک خاڵی خەڵات کۆبکەرەوە و بیگۆڕە بە داشکاندنی ڕاستەوخۆ. ١٠٠ خاڵ = ١$,Earn Reward Points on every order and redeem them for instant discounts. 100 points = $1,/rewards,,,f,2026-08-22 10:40:43.815501+00,2026-08-22 10:40:43.815501+00
2c7da6b5-150a-458a-94e5-4ecc422f1c4a,530bd01a-44e9-4239-ad25-83623c03c15d,order_item_new,منتج مطلوب في الطلب #55,بەرهەمێکت داواکراوە #55,Your product was ordered #55,Rhodium matrix × 3,Rhodium matrix × 3,Rhodium matrix × 3,/brand,25a841a6-43f6-4cb8-a8e2-bb2107d71cce,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,t,2026-08-22 13:59:59.650439+00,2026-08-22 14:00:48.824917+00
789ab4a0-0755-41d2-8cda-dbe790a326cd,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,reward_earned,حصلت على 335 نقطة مكافأة,335 خاڵی خەڵات بەدەستت هێنا,You earned 335 reward points,"","","",/profile/wallet,,,t,2026-08-22 14:05:58.906175+00,2026-08-22 14:12:47.164937+00
293852a6-cff1-40a1-b9b6-fbe5415eb1fe,530bd01a-44e9-4239-ad25-83623c03c15d,vendor_reward_sponsored,رعيت 300 نقطة مكافأة,300 خاڵی خەڵات پاڵپشتی کرا,You sponsored 300 reward points,product boost,product boost,product boost,/brand,25a841a6-43f6-4cb8-a8e2-bb2107d71cce,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,t,2026-08-22 14:05:58.906175+00,2026-08-22 15:19:39.013842+00
1393b36c-69e2-455f-817c-9a6253005a0d,530bd01a-44e9-4239-ad25-83623c03c15d,vendor_charge,رسوم جديدة: Reward points 300 (product),کرێی نوێ: Reward points 300 (product),New charge: Reward points 300 (product),3000 IQD,3000 IQD,3000 IQD,/brand,,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,t,2026-08-22 14:05:58.906175+00,2026-08-22 15:19:39.013842+00
99ae5ed7-cd38-4da6-a209-8183bc1ae572,14a0871e-fef0-4831-9c47-1f0c7d8be679,announcement,نقاط المكافأة متاحة الآن 🎉,خاڵی خەڵات ئێستا بەردەستە 🎉,Reward Points are live 🎉,اجمع نقاط المكافأة مع كل طلب واستبدلها بخصم مباشر على مشترياتك. 100 نقطة = 1$,لەگەڵ هەر داواکاریێک خاڵی خەڵات کۆبکەرەوە و بیگۆڕە بە داشکاندنی ڕاستەوخۆ. ١٠٠ خاڵ = ١$,Earn Reward Points on every order and redeem them for instant discounts. 100 points = $1,/rewards,,,f,2026-08-22 10:40:43.815501+00,2026-08-22 10:40:43.815501+00
580dfb7b-3c31-4226-b82f-9ea4b86b87c0,2bb87a53-ddde-437a-b009-32d1e0094ae3,announcement,نقاط المكافأة متاحة الآن 🎉,خاڵی خەڵات ئێستا بەردەستە 🎉,Reward Points are live 🎉,اجمع نقاط المكافأة مع كل طلب واستبدلها بخصم مباشر على مشترياتك. 100 نقطة = 1$,لەگەڵ هەر داواکاریێک خاڵی خەڵات کۆبکەرەوە و بیگۆڕە بە داشکاندنی ڕاستەوخۆ. ١٠٠ خاڵ = ١$,Earn Reward Points on every order and redeem them for instant discounts. 100 points = $1,/rewards,,,f,2026-08-22 10:40:43.815501+00,2026-08-22 10:40:43.815501+00
