id,wallet_id,user_id,kind,amount,balance_after,note,ref_id,created_by,created_at
47fac76c-b64d-4f83-98b4-a0ad401d7047,b0f82500-cfea-43eb-a3aa-9713bedda3bf,8d4a489a-d01b-41e6-b137-4d54fec1490e,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
74a4c918-f96d-49eb-a50b-364c88ba5ea5,6aee2200-e8c6-43be-97b5-9455e45dee02,d141cf10-e9e0-4c2f-b43b-c58eca7a6abb,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
3e25e193-a4b5-4f1d-957b-0cfaafcbd717,628e271d-278b-4b7b-8d31-a64aed278100,b2d14ab1-7480-40fe-bc9a-491b52419cfe,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
9b47e51b-66e4-4ba6-b8f6-cf3c6f4d3bf6,e1287111-18d1-433d-9673-239f6e8407d4,1ca0d52c-7141-46c5-b222-0a85056da521,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
4b5690da-8d35-473f-a9f6-32e221ced294,5f40cb8c-b688-4a57-918e-e89a136a8f31,530bd01a-44e9-4239-ad25-83623c03c15d,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
e144f382-5a96-457e-8cda-1b84e754de3f,2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
511b8c6a-c33a-4d10-ba58-be118c5e54ee,b49c646c-2f45-41a6-9d59-55a9b52e8a17,90250baa-f629-449a-a7f0-5d7fc098d793,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
adc688df-e606-49cd-8a5a-9fbcf0e8f0de,a4cd3535-283e-4ac5-a123-15cb6c0a3d49,75e98c53-c3c1-4408-9ebf-8f40496f3a70,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
925e6d4d-2b5a-4dee-b94d-fc6e046970b5,b01ff3dc-6a60-48dc-b864-4436617b5d79,14a0871e-fef0-4831-9c47-1f0c7d8be679,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
b8d2f369-605f-4e06-b622-dc26a16372e5,52a06e23-81a9-4d86-8a78-04ba41124f4b,2bb87a53-ddde-437a-b009-32d1e0094ae3,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
3f71e512-47f1-4213-86f4-fed466e8825f,e1aa6a73-94bc-4572-bcaa-fe34d5708b6b,08154630-0372-485b-a7c1-92e4b39fdfd1,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
8886e6f1-dbbc-4bcb-b6c2-8a404d8381c1,0fd8cc63-ae4e-494a-801a-577a98cbcb36,3e7f7bdb-15f1-470c-87d5-9079a310b8df,admin_credit,5000,5000,Test reward points,,,2026-08-22 06:41:13.17347+00
8d5fdb27-8264-4fc9-af74-20f193674599,e1287111-18d1-433d-9673-239f6e8407d4,1ca0d52c-7141-46c5-b222-0a85056da521,spend_order,-550,4450,"",134541b7-67ef-48d6-b7b7-ffb7ff7e6e4a,,2026-08-22 07:05:02.002918+00
f323b7ad-98cd-4875-995b-87dc06f225ce,e1287111-18d1-433d-9673-239f6e8407d4,1ca0d52c-7141-46c5-b222-0a85056da521,earn_purchase,5,4455,"",134541b7-67ef-48d6-b7b7-ffb7ff7e6e4a,,2026-08-22 07:06:18.087589+00
f446db75-7100-42a6-bf20-ddfb69437c53,e1287111-18d1-433d-9673-239f6e8407d4,1ca0d52c-7141-46c5-b222-0a85056da521,earn_first_order,500,4955,"",134541b7-67ef-48d6-b7b7-ffb7ff7e6e4a,,2026-08-22 07:06:18.087589+00
caaceff9-66f0-4f57-a017-f2f2b0cfe1a7,e1287111-18d1-433d-9673-239f6e8407d4,1ca0d52c-7141-46c5-b222-0a85056da521,earn_review,50,5005,"",4cf627d0-d0fc-4096-b901-b0b3c08f42d9,,2026-08-22 07:06:42.37019+00
44193e34-696d-4f44-ab30-0287c76d2cf7,2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,spend_order,-5000,0,"",3af5ded1-56e7-4e2d-be9f-5e3689ba3f9c,,2026-08-22 08:44:11.385781+00
6b424e00-c208-4a41-8409-5a52503441ba,2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,earn_purchase,1953,1953,"",3af5ded1-56e7-4e2d-be9f-5e3689ba3f9c,,2026-08-22 08:45:46.368346+00
8bb82d4b-0ab5-40c4-90c9-f7a05d2f528f,2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,earn_challenge,1000,2953,2026-08,,,2026-08-22 08:45:46.368346+00
c9467617-39b2-4795-a0bd-a02240762afa,2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,earn_review,50,3003,"",e23617c5-9494-42f7-9be3-a437ee6f8317,,2026-08-22 10:37:30.075963+00
38deaa64-456a-4957-8dec-1de86d929529,2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,earn_purchase,335,3338,"",25a841a6-43f6-4cb8-a8e2-bb2107d71cce,,2026-08-22 14:05:58.906175+00
0159b4f5-caa5-426c-94f2-d3455fd8d207,2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,earn_purchase,55,3393,"",ed7429ad-6b87-40db-b275-0f61d3038df2,,2026-08-23 17:03:08.454157+00
